wals code	name	value	description	latitude	longitude	genus	family	area
snh	Sinhala	2	Related for all demonstratives	7.0	80.5	Indic	Indo-European	Nominal Categories
sla	Slave	6	Related for non-human reference	67.0	-125.0	Athapaskan	Na-Dene	Nominal Categories
spa	Spanish	1	Unrelated	40.0	-4.0	Romance	Indo-European	Nominal Categories
sup	Supyire	2	Related for all demonstratives	11.5	-5.58333333333	Senufo	Niger-Congo	Nominal Categories
tab	Taba	2	Related for all demonstratives	0.0	127.5	South Halmahera - West New Guinea	Austronesian	Nominal Categories
tag	Tagalog	1	Unrelated	15.0	121.0	Greater Central Philippine	Austronesian	Nominal Categories
tau	Tauya	1	Unrelated	-5.75	145.333333333	Rai Coast	Trans-New Guinea	Nominal Categories
tha	Thai	1	Unrelated	16.0	101.0	Kam-Tai	Tai-Kadai	Nominal Categories
tib	Tibetan (Standard Spoken)	1	Unrelated	30.0	91.0	Bodic	Sino-Tibetan	Nominal Categories
tid	Tidore	2	Related for all demonstratives	0.75	127.5	North Halmaheran	North Halmaheran	Nominal Categories
tja	Tiipay (Jamul)	2	Related for all demonstratives	32.1666666667	-116.5	Yuman	Hokan	Nominal Categories
ton	Tonkawa	1	Unrelated	30.25	-96.75	Tonkawa	Tonkawa	Nominal Categories
toq	Toqabaqita	1	Unrelated	-8.41666666667	160.583333333	Oceanic	Austronesian	Nominal Categories
tot	Totonac (Misantla)	1	Unrelated	19.9166666667	-96.9166666667	Totonacan	Totonacan	Nominal Categories
tru	Trumai	5	Related by gender markers	-11.9166666667	-53.5833333333	Trumai	Trumai	Nominal Categories
tuk	Tukang Besi	1	Unrelated	-5.5	123.5	Celebic	Austronesian	Nominal Categories
tun	Tunica	1	Unrelated	32.6666666667	-91.0	Tunica	Tunica	Nominal Categories
tna	Turkana	1	Unrelated	3.0	35.5	Eastern Nilotic	Eastern Sudanic	Nominal Categories
tur	Turkish	3	Related to remote demonstratives	39.0	35.0	Turkic	Altaic	Nominal Categories
tte	Tutelo	1	Unrelated	37.6666666667	-78.75	Ohio Valley Siouan	Siouan	Nominal Categories
tvl	Tuvaluan	3	Related to remote demonstratives	-8.5	179.166666667	Oceanic	Austronesian	Nominal Categories
tzu	Tzutujil	2	Related for all demonstratives	14.6666666667	-91.3333333333	Mayan	Mayan	Nominal Categories
tsh	Tümpisa Shoshone	2	Related for all demonstratives	37.0	-117.0	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
urk	Urubú-Kaapor	1	Unrelated	-2.33333333333	-46.5	Maweti-Guarani	Tupian	Nominal Categories
usa	Usan	1	Unrelated	-4.83333333333	145.166666667	North Adelbert	Trans-New Guinea	Nominal Categories
ven	Venda	5	Related by gender markers	-22.0	30.0	Bantu	Niger-Congo	Nominal Categories
vie	Vietnamese	3	Related to remote demonstratives	10.5	106.5	Vietic	Austro-Asiatic	Nominal Categories
wam	Wambaya	2	Related for all demonstratives	-18.6666666667	135.75	Wambayan	Mirndi	Nominal Categories
