wals code	name	value	description	latitude	longitude	genus	family	area
laz	Laz	3	Secondary-object construction	41.5	41.5	Kartvelian	Kartvelian	Simple Clauses
lel	Lele	2	Double-object construction	9.08333333333	15.5833333333	East Chadic	Afro-Asiatic	Simple Clauses
lep	Lepcha	1	Indirect-object construction	27.1666666667	88.5	Himalayish	Sino-Tibetan	Simple Clauses
lez	Lezgian	1	Indirect-object construction	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Simple Clauses
lil	Lillooet	3	Secondary-object construction	50.75	-122.0	Interior Salish	Salishan	Simple Clauses
lml	Limilngan	3	Secondary-object construction	-12.5	131.916666667	Limilngan	Darwin Region	Simple Clauses
lin	Lingala	2	Double-object construction	2.0	18.5	Bantu	Niger-Congo	Simple Clauses
lis	Lisu	1	Indirect-object construction	26.0	98.0	Burmese-Lolo	Sino-Tibetan	Simple Clauses
ara	Lokono	1	Indirect-object construction	5.5	-55.1666666667	Antillean Arawakan	Arawakan	Simple Clauses
lgu	Longgu	1	Indirect-object construction	-9.75	160.666666667	Oceanic	Austronesian	Simple Clauses
lbu	Lunda	2	Double-object construction	-10.6666666667	24.0	Bantu	Niger-Congo	Simple Clauses
mad	Ma'di	1	Indirect-object construction	3.25	31.5	Moru-Ma'di	Central Sudanic	Simple Clauses
mle	Maale	1	Indirect-object construction	6.0	36.9166666667	Ta-Ne-Omotic	Afro-Asiatic	Simple Clauses
mac	Macushi	1	Indirect-object construction	4.0	-60.0	Cariban	Cariban	Simple Clauses
mdr	Madurese	1	Indirect-object construction	-7.0	113.5	Malayo-Sumbawan	Austronesian	Simple Clauses
mpr	Maipure	1	Indirect-object construction	5.5	-67.5	Alto-Orinoco	Arawakan	Simple Clauses
mai	Maithili	1	Indirect-object construction	26.0	86.0	Indic	Indo-European	Simple Clauses
mak	Makah	2	Double-object construction	48.3333333333	-124.666666667	Southern Wakashan	Wakashan	Simple Clauses
mym	Malayalam	1	Indirect-object construction	10.0	76.5	Dravidian	Dravidian	Simple Clauses
mlt	Maltese	1	Indirect-object construction	35.9166666667	14.4166666667	Semitic	Afro-Asiatic	Simple Clauses
mam	Mam	1	Indirect-object construction	15.0	-91.8333333333	Mayan	Mayan	Simple Clauses
mnd	Mandarin	4	Mixed	34.0	110.0	Chinese	Sino-Tibetan	Simple Clauses
myi	Mangarrayi	2	Double-object construction	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Simple Clauses
mgg	Mangghuer	1	Indirect-object construction	36.0	102.0	Mongolic	Altaic	Simple Clauses
mao	Maori	1	Indirect-object construction	-40.0	176.0	Oceanic	Austronesian	Simple Clauses
map	Mapudungun	3	Secondary-object construction	-38.0	-72.0	Araucanian	Araucanian	Simple Clauses
mku	Maranungku	2	Double-object construction	-13.6666666667	130.0	Wagaydy	Western Daly	Simple Clauses
mhi	Marathi	1	Indirect-object construction	19.0	76.0	Indic	Indo-European	Simple Clauses
mar	Maricopa	3	Secondary-object construction	33.1666666667	-113.166666667	Yuman	Hokan	Simple Clauses
mrq	Marquesan	2	Double-object construction	-8.91666666667	-140.083333333	Oceanic	Austronesian	Simple Clauses
mrt	Martuthunira	3	Secondary-object construction	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
mts	Matis	2	Double-object construction	-4.41666666667	-70.25	Panoan	Pano-Tacanan	Simple Clauses
myr	Matsés	2	Double-object construction	-5.41666666667	-73.25	Panoan	Pano-Tacanan	Simple Clauses
may	Maybrat	4	Mixed	-1.33333333333	132.5	Maybrat	Maybrat	Simple Clauses
mbb	Mbabaram	1	Indirect-object construction	-17.1666666667	145.0	Northern Pama-Nyungan	Pama-Nyungan	Simple Clauses
mby	Mbay	2	Double-object construction	8.25	17.5	Bongo-Bagirmi	Central Sudanic	Simple Clauses
mbi	Mbili	1	Indirect-object construction	6.11666666667	10.2	Wide Grassfields	Niger-Congo	Simple Clauses
mei	Meithei	1	Indirect-object construction	24.75	94.0	Manipuri	Sino-Tibetan	Simple Clauses
mde	Mende	4	Mixed	7.83333333333	-11.5	Western Mande	Mande	Simple Clauses
mxc	Mixtec (Chalcatongo)	1	Indirect-object construction	17.05	-97.5833333333	Mixtec	Oto-Manguean	Simple Clauses
miy	Miya	2	Double-object construction	10.9166666667	9.66666666667	West Chadic	Afro-Asiatic	Simple Clauses
mlm	Mlabri (Minor)	2	Double-object construction	18.5	101.0	Khmuic	Austro-Asiatic	Simple Clauses
mcv	Mocoví	4	Mixed	-28.0	-60.5	Qom	Guaicuruan	Simple Clauses
mno	Mono (in United States)	2	Double-object construction	38.0	-119.0	Northern Uto-Aztecan	Uto-Aztecan	Simple Clauses
mbo	Monumbo	1	Indirect-object construction	-4.25	145.0	Bogia	Bogia	Simple Clauses
mos	Mosetén	3	Secondary-object construction	-14.75	-67.8333333333	Mosetenan	Mosetenan	Simple Clauses
mot	Motuna	3	Secondary-object construction	-6.61666666667	155.416666667	South Bougainville	South Bougainville	Simple Clauses
mdg	Mundang	1	Indirect-object construction	9.66666666667	14.5	Mbumic	Niger-Congo	Simple Clauses
mup	Mupun	1	Indirect-object construction	9.5	8.83333333333	West Chadic	Afro-Asiatic	Simple Clauses
mrl	Murle	2	Double-object construction	6.5	33.5	South Surmic	Eastern Sudanic	Simple Clauses
mgu	Musgu	1	Indirect-object construction	10.8333333333	14.9166666667	Biu-Mandara	Afro-Asiatic	Simple Clauses
mus	Mussau	1	Indirect-object construction	-1.45	149.616666667	Oceanic	Austronesian	Simple Clauses
nab	Nabak	3	Secondary-object construction	-6.41666666667	147.0	Huon	Trans-New Guinea	Simple Clauses
nag	Nagatman	1	Indirect-object construction	-3.75	141.5	Yale	Yale	Simple Clauses
nht	Nahuatl (Tetelcingo)	2	Double-object construction	19.6666666667	-99.0	Aztecan	Uto-Aztecan	Simple Clauses
kho	Nama	2	Double-object construction	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Simple Clauses
nmb	Nambikuára (Southern)	3	Secondary-object construction	-14.0	-59.5	Nambikuaran	Nambikuaran	Simple Clauses
ndb	Ndebele	2	Double-object construction	-25.3333333333	29.0	Bantu	Niger-Congo	Simple Clauses
ndj	Ndjébbana	3	Secondary-object construction	-12.1666666667	134.116666667	Ndjébbana	Mangrida	Simple Clauses
nep	Nepali	1	Indirect-object construction	28.0	85.0	Indic	Indo-European	Simple Clauses
nwd	Newar (Dolakha)	1	Indirect-object construction	27.3333333333	86.0	Himalayish	Sino-Tibetan	Simple Clauses
ngl	Ngalakan	3	Secondary-object construction	-14.25	134.0	Eastern Gunwinyguan	Gunwinyguan	Simple Clauses
ngi	Ngiyambaa	3	Secondary-object construction	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Simple Clauses
nha	Nhanda	2	Double-object construction	-27.0	114.166666667	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
nia	Nias	1	Indirect-object construction	1.0	97.75	Northwest Sumatra-Barrier Islands	Austronesian	Simple Clauses
nsg	Nisgha	1	Indirect-object construction	55.0	-130.0	Tsimshianic	Tsimshianic	Simple Clauses
niu	Niuean	1	Indirect-object construction	-19.05	-170.116666667	Oceanic	Austronesian	Simple Clauses
niv	Nivkh	3	Secondary-object construction	53.3333333333	142.0	Nivkh	Nivkh	Simple Clauses
nko	Nkore-Kiga	3	Secondary-object construction	-0.916666666667	29.8333333333	Bantu	Niger-Congo	Simple Clauses
nse	Nsenga	2	Double-object construction	-14.5	30.8333333333	Bantu	Niger-Congo	Simple Clauses
nua	Nuaulu	1	Indirect-object construction	-3.25	129.166666667	Central Malayo-Polynesian	Austronesian	Simple Clauses
nbd	Nubian (Dongolese)	1	Indirect-object construction	18.25	30.75	Nubian	Eastern Sudanic	Simple Clauses
nku	Nubian (Kunuz)	2	Double-object construction	23.0	33.0	Nubian	Eastern Sudanic	Simple Clauses
nuu	Nuuchahnulth	2	Double-object construction	49.6666666667	-126.666666667	Southern Wakashan	Wakashan	Simple Clauses
ood	O'odham	2	Double-object construction	32.0	-112.0	Tepiman	Uto-Aztecan	Simple Clauses
obo	Obolo	2	Double-object construction	4.58333333333	7.83333333333	Lower Cross	Niger-Congo	Simple Clauses
oji	Ojibwa (Eastern)	3	Secondary-object construction	46.0	-80.0	Algonquian	Algic	Simple Clauses
olu	Olutec	4	Mixed	17.95	-95.0	Mixe-Zoque	Mixe-Zoque	Simple Clauses
orh	Oromo (Harar)	1	Indirect-object construction	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Simple Clauses
ory	Orya	1	Indirect-object construction	-2.75	139.833333333	Tor-Orya	Tor-Kwerba	Simple Clauses
pms	Paamese	1	Indirect-object construction	-16.5	168.25	Oceanic	Austronesian	Simple Clauses
pta	Paita	1	Indirect-object construction	-22.0833333333	166.5	Oceanic	Austronesian	Simple Clauses
pai	Paiwan	4	Mixed	22.5	120.833333333	Paiwan	Austronesian	Simple Clauses
pal	Palauan	3	Secondary-object construction	7.5	134.583333333	Palauan	Austronesian	Simple Clauses
pny	Panyjima	2	Double-object construction	-22.8333333333	118.416666667	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
ptt	Pattani	1	Indirect-object construction	32.75	76.75	Bodic	Sino-Tibetan	Simple Clauses
per	Pero	1	Indirect-object construction	9.58333333333	11.0	West Chadic	Afro-Asiatic	Simple Clauses
prs	Persian	1	Indirect-object construction	32.0	54.0	Iranian	Indo-European	Simple Clauses
pga	Pilagá	2	Double-object construction	-25.0	-60.0	Qom	Guaicuruan	Simple Clauses
prh	Pirahã	2	Double-object construction	-7.0	-62.0	Mura	Mura	Simple Clauses
pit	Pitjantjatjara	2	Double-object construction	-26.0	130.0	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
ppi	Pitta Pitta	2	Double-object construction	-22.8333333333	140.0	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
pur	Purépecha	1	Indirect-object construction	19.5	-101.666666667	Tarascan	Tarascan	Simple Clauses
pae	Páez	1	Indirect-object construction	2.66666666667	-76.0	Páezan	Páezan	Simple Clauses
qaf	Qafar	1	Indirect-object construction	12.0	42.0	Lowland East Cushitic	Afro-Asiatic	Simple Clauses
qia	Qiang	1	Indirect-object construction	32.0	102.666666667	Na-Qiangic	Sino-Tibetan	Simple Clauses
qhu	Quechua (Huallaga)	3	Secondary-object construction	-9.5	-75.5	Quechuan	Quechuan	Simple Clauses
qim	Quechua (Imbabura)	1	Indirect-object construction	0.333333333333	-78.0	Quechuan	Quechuan	Simple Clauses
rap	Rapanui	1	Indirect-object construction	-27.1166666667	-109.366666667	Oceanic	Austronesian	Simple Clauses
raw	Rawang	1	Indirect-object construction	27.5	97.5	Nungish	Sino-Tibetan	Simple Clauses
ret	Retuarã	2	Double-object construction	-0.5	-70.6666666667	Tucanoan	Tucanoan	Simple Clauses
ron	Ron	1	Indirect-object construction	9.0	8.75	West Chadic	Afro-Asiatic	Simple Clauses
rus	Russian	1	Indirect-object construction	56.0	38.0	Slavic	Indo-European	Simple Clauses
sno	Saami (Northern)	1	Indirect-object construction	69.0	24.0	Saami	Uralic	Simple Clauses
slb	Saliba (in Papua New Guinea)	4	Mixed	-10.5833333333	150.716666667	Oceanic	Austronesian	Simple Clauses
syu	Salt-Yui	2	Double-object construction	-6.28333333333	145.033333333	Chimbu-Wahgi	Trans-New Guinea	Simple Clauses
san	Sango	1	Indirect-object construction	5.0	18.0	Ubangi	Niger-Congo	Simple Clauses
sgu	Sangu	2	Double-object construction	-1.5	11.8333333333	Bantu	Niger-Congo	Simple Clauses
snm	Sanuma	1	Indirect-object construction	4.5	-64.6666666667	Yanomam	Yanomam	Simple Clauses
sap	Sapuan	1	Indirect-object construction	15.1666666667	106.833333333	Bahnaric	Austro-Asiatic	Simple Clauses
sed	Sedang	4	Mixed	14.8333333333	108.0	Bahnaric	Austro-Asiatic	Simple Clauses
skp	Selkup	1	Indirect-object construction	65.0	82.0	Samoyedic	Uralic	Simple Clauses
sml	Semelai	1	Indirect-object construction	3.0	103.0	Aslian	Austro-Asiatic	Simple Clauses
shk	Shipibo-Konibo	2	Double-object construction	-7.5	-75.0	Panoan	Pano-Tacanan	Simple Clauses
sho	Shoshone	2	Double-object construction	41.0	-114.0	Northern Uto-Aztecan	Uto-Aztecan	Simple Clauses
sng	Sinaugoro	3	Secondary-object construction	-9.83333333333	147.833333333	Oceanic	Austronesian	Simple Clauses
sla	Slave	1	Indirect-object construction	67.0	-125.0	Athapaskan	Na-Dene	Simple Clauses
so	So	1	Indirect-object construction	2.58333333333	34.75	Kuliak	Eastern Sudanic	Simple Clauses
som	Somali	3	Secondary-object construction	3.0	45.0	Lowland East Cushitic	Afro-Asiatic	Simple Clauses
stn	Sotho (Northern)	2	Double-object construction	-24.0	29.0	Bantu	Niger-Congo	Simple Clauses
spa	Spanish	1	Indirect-object construction	40.0	-4.0	Romance	Indo-European	Simple Clauses
sud	Sudest	1	Indirect-object construction	-11.5	153.45	Oceanic	Austronesian	Simple Clauses
sue	Suena	1	Indirect-object construction	-7.75	147.55	Binanderean	Trans-New Guinea	Simple Clauses
sun	Sundanese	4	Mixed	-7.0	107.0	Malayo-Sumbawan	Austronesian	Simple Clauses
sup	Supyire	1	Indirect-object construction	11.5	-5.58333333333	Senufo	Niger-Congo	Simple Clauses
swa	Swahili	2	Double-object construction	-6.5	39.0	Bantu	Niger-Congo	Simple Clauses
tab	Taba	2	Double-object construction	0.0	127.5	South Halmahera - West New Guinea	Austronesian	Simple Clauses
tag	Tagalog	4	Mixed	15.0	121.0	Greater Central Philippine	Austronesian	Simple Clauses
tam	Tamang (Eastern)	1	Indirect-object construction	27.5	85.666666666667	Bodic	Sino-Tibetan	Simple Clauses
tml	Tamil	1	Indirect-object construction	11.0	78.5	Dravidian	Dravidian	Simple Clauses
tar	Tariana	2	Double-object construction	1.0	-69.1666666667	Japura-Colombia	Arawakan	Simple Clauses
tau	Tauya	3	Secondary-object construction	-5.75	145.333333333	Rai Coast	Trans-New Guinea	Simple Clauses
tps	Tepehuan (Southeastern)	3	Secondary-object construction	23.0	-104.5	Tepiman	Uto-Aztecan	Simple Clauses
trb	Teribe	1	Indirect-object construction	9.33333333333	-82.6666666667	Western Isthmic Chibchan	Chibchan	Simple Clauses
trt	Ternate	4	Mixed	0.833333333333	127.25	North Halmaheran	North Halmaheran	Simple Clauses
ttn	Tetun	4	Mixed	-9.0	126.0	Central Malayo-Polynesian	Austronesian	Simple Clauses
tha	Thai	1	Indirect-object construction	16.0	101.0	Kam-Tai	Tai-Kadai	Simple Clauses
tis	Tibetan (Shigatse)	1	Indirect-object construction	29.0	89.0	Bodic	Sino-Tibetan	Simple Clauses
tib	Tibetan (Standard Spoken)	1	Indirect-object construction	30.0	91.0	Bodic	Sino-Tibetan	Simple Clauses
tid	Tidore	4	Mixed	0.75	127.5	North Halmaheran	North Halmaheran	Simple Clauses
tig	Tigrinya	1	Indirect-object construction	14.5	38.5	Semitic	Afro-Asiatic	Simple Clauses
tja	Tiipay (Jamul)	2	Double-object construction	32.1666666667	-116.5	Yuman	Hokan	Simple Clauses
tik	Tikar	2	Double-object construction	5.83333333333	11.6666666667	Tikar	Niger-Congo	Simple Clauses
tin	Tinrin	1	Indirect-object construction	-21.6666666667	165.75	Oceanic	Austronesian	Simple Clauses
tiw	Tiwi	3	Secondary-object construction	-11.5	131.0	Tiwian	Tiwian	Simple Clauses
tbt	Tobati	3	Secondary-object construction	-2.58333333333	140.666666667	Oceanic	Austronesian	Simple Clauses
tms	Tommo So	1	Indirect-object construction	15.0	-3.0	Dogon	Dogon	Simple Clauses
tor	Toratán	1	Indirect-object construction	1.08333333333	124.833333333	Sangiric	Austronesian	Simple Clauses
trw	Torwali	1	Indirect-object construction	34.25	72.0	Indic	Indo-European	Simple Clauses
tru	Trumai	1	Indirect-object construction	-11.9166666667	-53.5833333333	Trumai	Trumai	Simple Clauses
tst	Tsat	1	Indirect-object construction	18.25	109.5	Malayo-Sumbawan	Austronesian	Simple Clauses
tsz	Tsez	1	Indirect-object construction	42.25	45.75	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
tgl	Tshangla	1	Indirect-object construction	27.8333333333	92.1666666667	Bodic	Sino-Tibetan	Simple Clauses
tsi	Tsimshian (Coast)	1	Indirect-object construction	52.5	-129.0	Tsimshianic	Tsimshianic	Simple Clauses
tgn	Tugun	1	Indirect-object construction	-7.71666666667	126.75	Central Malayo-Polynesian	Austronesian	Simple Clauses
tuk	Tukang Besi	2	Double-object construction	-5.5	123.5	Celebic	Austronesian	Simple Clauses
tnn	Tunen	2	Double-object construction	4.75	10.6666666667	Bantu	Niger-Congo	Simple Clauses
tna	Turkana	2	Double-object construction	3.0	35.5	Eastern Nilotic	Eastern Sudanic	Simple Clauses
tur	Turkish	1	Indirect-object construction	39.0	35.0	Turkic	Altaic	Simple Clauses
tzu	Tzutujil	1	Indirect-object construction	14.6666666667	-91.3333333333	Mayan	Mayan	Simple Clauses
tsh	Tümpisa Shoshone	2	Double-object construction	37.0	-117.0	Northern Uto-Aztecan	Uto-Aztecan	Simple Clauses
udh	Udihe	1	Indirect-object construction	47.6666666667	136.25	Tungusic	Altaic	Simple Clauses
udm	Udmurt	1	Indirect-object construction	57.5	52.5	Permic	Uralic	Simple Clauses
uku	Upper Kuskokwim	1	Indirect-object construction	63.0	-157.0	Athapaskan	Na-Dene	Simple Clauses
urk	Urubú-Kaapor	1	Indirect-object construction	-2.33333333333	-46.5	Maweti-Guarani	Tupian	Simple Clauses
usa	Usan	3	Secondary-object construction	-4.83333333333	145.166666667	North Adelbert	Trans-New Guinea	Simple Clauses
vie	Vietnamese	2	Double-object construction	10.5	106.5	Vietic	Austro-Asiatic	Simple Clauses
wlm	Walmatjari	2	Double-object construction	-19.5	125.75	Western Pama-Nyungan	Pama-Nyungan	Simple Clauses
wam	Wambaya	2	Double-object construction	-18.6666666667	135.75	Wambayan	Mirndi	Simple Clauses
wra	Warao	1	Indirect-object construction	9.33333333333	-61.6666666667	Warao	Warao	Simple Clauses
