wals code	name	value	description	latitude	longitude	genus	family	area
siu	Siuslaw	1	Absent	44.0	-124.0	Siuslawan	Oregon Coast	Nominal Categories
so	So	3	Obligatory	2.58333333333	34.75	Kuliak	Eastern Sudanic	Nominal Categories
tou	Southern Toussian	3	Obligatory	11.0	-4.66666666667	Tusia	Niger-Congo	Nominal Categories
sue	Suena	1	Absent	-7.75	147.55	Binanderean	Trans-New Guinea	Nominal Categories
sul	Sulka	1	Absent	-5.08333333333	151.916666667	Sulka	Sulka	Nominal Categories
sup	Supyire	1	Absent	11.5	-5.58333333333	Senufo	Niger-Congo	Nominal Categories
swa	Swahili	1	Absent	-6.5	39.0	Bantu	Niger-Congo	Nominal Categories
swt	Swati	1	Absent	-26.5	31.0	Bantu	Niger-Congo	Nominal Categories
tab	Taba	3	Obligatory	0.0	127.5	South Halmahera - West New Guinea	Austronesian	Nominal Categories
tag	Tagalog	1	Absent	15.0	121.0	Greater Central Philippine	Austronesian	Nominal Categories
tkl	Takelma	1	Absent	42.5	-123.0	Takelma	Takelma	Nominal Categories
tvo	Tatar	2	Optional	56.0	49.5	Turkic	Altaic	Nominal Categories
tts	Tati (Southern)	2	Optional	36.0	49.6666666667	Iranian	Indo-European	Nominal Categories
tll	Taulil	1	Absent	-4.41666666667	152.083333333	Taulil	Taulil	Nominal Categories
taw	Tawala	1	Absent	-10.3333333333	150.666666667	Oceanic	Austronesian	Nominal Categories
tht	Tehit	3	Obligatory	-1.5	132.0	West Bird's Head	West Bird's Head	Nominal Categories
tlf	Telefol	1	Absent	-5.0	141.75	Ok	Trans-New Guinea	Nominal Categories
tmr	Temiar	1	Absent	5.0	101.5	Aslian	Austro-Asiatic	Nominal Categories
tps	Tepehuan (Southeastern)	1	Absent	23.0	-104.5	Tepiman	Uto-Aztecan	Nominal Categories
trb	Teribe	3	Obligatory	9.33333333333	-82.6666666667	Western Isthmic Chibchan	Chibchan	Nominal Categories
trn	Terêna	1	Absent	-20.0	-56.0	Bolivia-Parana	Arawakan	Nominal Categories
ttn	Tetun	2	Optional	-9.0	126.0	Central Malayo-Polynesian	Austronesian	Nominal Categories
tha	Thai	3	Obligatory	16.0	101.0	Kam-Tai	Tai-Kadai	Nominal Categories
tho	Thompson	2	Optional	49.75	-121.75	Interior Salish	Salishan	Nominal Categories
tid	Tidore	2	Optional	0.75	127.5	North Halmaheran	North Halmaheran	Nominal Categories
tim	Timugon	1	Absent	5.0	116.0	North Borneo	Austronesian	Nominal Categories
tiw	Tiwi	1	Absent	-11.5	131.0	Tiwian	Tiwian	Nominal Categories
tli	Tlingit	3	Obligatory	59.0	-135.0	Tlingit	Na-Dene	Nominal Categories
tob	Toba	1	Absent	-26.5	-59.0	Qom	Guaicuruan	Nominal Categories
tol	Tol	1	Absent	14.6666666667	-87.0	Tol	Tol	Nominal Categories
tla	Tolai	1	Absent	-4.25	152.083333333	Oceanic	Austronesian	Nominal Categories
tng	Tongan	2	Optional	-21.1666666667	-175.166666667	Oceanic	Austronesian	Nominal Categories
ton	Tonkawa	1	Absent	30.25	-96.75	Tonkawa	Tonkawa	Nominal Categories
toq	Toqabaqita	2	Optional	-8.41666666667	160.583333333	Oceanic	Austronesian	Nominal Categories
tpa	Totonac (Papantla)	3	Obligatory	20.3333333333	-97.3333333333	Totonacan	Totonacan	Nominal Categories
tsi	Tsimshian (Coast)	3	Obligatory	52.5	-129.0	Tsimshianic	Tsimshianic	Nominal Categories
tso	Tsou	1	Absent	23.5	120.75	Tsou	Austronesian	Nominal Categories
tgh	Tuareg (Ghat)	1	Absent	25.0	10.1666666667	Berber	Afro-Asiatic	Nominal Categories
tuc	Tucano	2	Optional	0.5	-69.1666666667	Tucanoan	Tucanoan	Nominal Categories
tuk	Tukang Besi	2	Optional	-5.5	123.5	Celebic	Austronesian	Nominal Categories
tnn	Tunen	1	Absent	4.75	10.6666666667	Bantu	Niger-Congo	Nominal Categories
tun	Tunica	1	Absent	32.6666666667	-91.0	Tunica	Tunica	Nominal Categories
tur	Turkish	2	Optional	39.0	35.0	Turkic	Altaic	Nominal Categories
tvl	Tuvaluan	2	Optional	-8.5	179.166666667	Oceanic	Austronesian	Nominal Categories
tuv	Tuvan	1	Absent	52.0	95.0	Turkic	Altaic	Nominal Categories
tuy	Tuyuca	3	Obligatory	0.5	-70.0833333333	Tucanoan	Tucanoan	Nominal Categories
tze	Tzeltal	3	Obligatory	16.8333333333	-92.25	Mayan	Mayan	Nominal Categories
uli	Ulithian	3	Obligatory	9.91666666667	139.583333333	Oceanic	Austronesian	Nominal Categories
ung	Ungarinjin	1	Absent	-16.3333333333	126.0	Worrorran	Worrorran	Nominal Categories
ura	Ura	1	Absent	-18.6666666667	169.083333333	Oceanic	Austronesian	Nominal Categories
uhi	Uradhi	1	Absent	-11.9166666667	142.416666667	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
vaf	Vafsi	2	Optional	34.6666666667	49.9166666667	Iranian	Indo-European	Nominal Categories
vie	Vietnamese	3	Obligatory	10.5	106.5	Vietic	Austro-Asiatic	Nominal Categories
wgl	Waigali	1	Absent	35.0	71.25	Nuristani	Indo-European	Nominal Categories
wao	Waorani	3	Obligatory	-1.0	-76.5	Waorani	Waorani	Nominal Categories
wap	Wappo	1	Absent	38.5	-122.5	Wappo	Wappo-Yukian	Nominal Categories
wrk	Warekena	3	Obligatory	1.5	-67.5	Alto-Orinoco	Arawakan	Nominal Categories
war	Wari'	1	Absent	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Nominal Categories
wrn	Warndarang	1	Absent	-14.4166666667	135.583333333	Mara	Mangarrayi-Maran	Nominal Categories
was	Washo	1	Absent	39.25	-120.0	Washo	Washo	Nominal Categories
wur	Waurá	2	Optional	-13.0	-53.0	Central Arawakan	Arawakan	Nominal Categories
wem	Wembawemba	1	Absent	-35.3333333333	144.0	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
win	Wintu	1	Absent	41.0	-122.5	Wintuan	Penutian	Nominal Categories
wor	Worora	1	Absent	-15.6666666667	124.666666667	Worrorran	Worrorran	Nominal Categories
yag	Yagua	3	Obligatory	-3.5	-72.0	Peba-Yaguan	Peba-Yaguan	Nominal Categories
ymi	Yami	1	Absent	22.0	121.5	Batanic	Austronesian	Nominal Categories
yap	Yapese	2	Optional	9.58333333333	138.166666667	Yapese	Austronesian	Nominal Categories
ywl	Yawelmani	1	Absent	35.4166666667	-119.0	Yokuts	Penutian	Nominal Categories
yes	Yessan-Mayo	1	Absent	-4.16666666667	142.583333333	Tama Sepik	Sepik	Nominal Categories
yid	Yidiny	1	Absent	-17.0	145.75	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
yim	Yimas	1	Absent	-4.66666666667	143.55	Lower Sepik	Ramu-Lower Sepik	Nominal Categories
yng	Yingkarta	1	Absent	-25.1666666667	114.833333333	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
yor	Yoruba	1	Absent	8.0	4.33333333333	Defoid	Niger-Congo	Nominal Categories
yct	Yucatec	3	Obligatory	20.0	-89.0	Mayan	Mayan	Nominal Categories
yuc	Yuchi	1	Absent	35.75	-86.75	Yuchi	Yuchi	Nominal Categories
yko	Yukaghir (Kolyma)	1	Absent	65.75	150.833333333	Yukaghir	Yukaghir	Nominal Categories
yuk	Yukulta	1	Absent	-17.3333333333	138.833333333	Tangkic	Tangkic	Nominal Categories
zul	Zulu	1	Absent	-30.0	30.0	Bantu	Niger-Congo	Nominal Categories
zun	Zuni	1	Absent	35.0833333333	-108.833333333	Zuni	Zuni	Nominal Categories
