wals code	name	value	description	latitude	longitude	genus	family	area
nez	Nez Perce	3	Other	46.0	-116.0	Sahaptian	Penutian	Verbal Categories
ngi	Ngiyambaa	3	Other	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Verbal Categories
niv	Nivkh	2	Affixes on verbs	53.3333333333	142.0	Nivkh	Nivkh	Verbal Categories
nko	Nkore-Kiga	3	Other	-0.916666666667	29.8333333333	Bantu	Niger-Congo	Verbal Categories
nug	Nunggubuyu	3	Other	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Verbal Categories
ond	Oneida	2	Affixes on verbs	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Verbal Categories
orh	Oromo (Harar)	1	Verbal constructions	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Verbal Categories
otm	Otomí (Mezquital)	3	Other	20.1666666667	-99.1666666667	Otomian	Oto-Manguean	Verbal Categories
pms	Paamese	2	Affixes on verbs	-16.5	168.25	Oceanic	Austronesian	Verbal Categories
pai	Paiwan	2	Affixes on verbs	22.5	120.833333333	Paiwan	Austronesian	Verbal Categories
pan	Panjabi	1	Verbal constructions	31.0	74.0	Indic	Indo-European	Verbal Categories
psm	Passamaquoddy-Maliseet	2	Affixes on verbs	45.0	-67.0	Algonquian	Algic	Verbal Categories
pau	Paumarí	3	Other	-6.0	-64.0	Arauan	Arauan	Verbal Categories
prs	Persian	3	Other	32.0	54.0	Iranian	Indo-European	Verbal Categories
pba	Pima Bajo	2	Affixes on verbs	29.0	-111.0	Tepiman	Uto-Aztecan	Verbal Categories
prh	Pirahã	2	Affixes on verbs	-7.0	-62.0	Mura	Mura	Verbal Categories
pit	Pitjantjatjara	3	Other	-26.0	130.0	Western Pama-Nyungan	Pama-Nyungan	Verbal Categories
pol	Polish	1	Verbal constructions	52.0	20.0	Slavic	Indo-European	Verbal Categories
pso	Pomo (Southeastern)	2	Affixes on verbs	39.0	-122.5	Pomoan	Hokan	Verbal Categories
por	Portuguese	1	Verbal constructions	39.0	-8.0	Romance	Indo-European	Verbal Categories
qaw	Qawasqar	3	Other	-49.0	-75.0	Alacalufan	Alacalufan	Verbal Categories
qim	Quechua (Imbabura)	2	Affixes on verbs	0.333333333333	-78.0	Quechuan	Quechuan	Verbal Categories
rap	Rapanui	3	Other	-27.1166666667	-109.366666667	Oceanic	Austronesian	Verbal Categories
rka	Romani (Kalderash)	1	Verbal constructions	45.0	21.0	Indic	Indo-European	Verbal Categories
rom	Romanian	1	Verbal constructions	46.0	25.0	Romance	Indo-European	Verbal Categories
rus	Russian	1	Verbal constructions	56.0	38.0	Slavic	Indo-European	Verbal Categories
sno	Saami (Northern)	1	Verbal constructions	69.0	24.0	Saami	Uralic	Verbal Categories
smt	Sahaptin (Umatilla)	3	Other	45.6666666667	-118.5	Sahaptian	Penutian	Verbal Categories
san	Sango	3	Other	5.0	18.0	Ubangi	Niger-Congo	Verbal Categories
snm	Sanuma	3	Other	4.5	-64.6666666667	Yanomam	Yanomam	Verbal Categories
sel	Selknam	2	Affixes on verbs	-53.0	-70.0	Chonan Proper	Chonan	Verbal Categories
sml	Semelai	2	Affixes on verbs	3.0	103.0	Aslian	Austro-Asiatic	Verbal Categories
snt	Sentani	3	Other	-2.58333333333	140.583333333	Sentanic	Sentanic	Verbal Categories
scr	Serbian-Croatian	1	Verbal constructions	44.0	19.0	Slavic	Indo-European	Verbal Categories
shk	Shipibo-Konibo	2	Affixes on verbs	-7.5	-75.0	Panoan	Pano-Tacanan	Verbal Categories
sla	Slave	3	Other	67.0	-125.0	Athapaskan	Na-Dene	Verbal Categories
slo	Slovene	3	Other	46.0	15.0	Slavic	Indo-European	Verbal Categories
so	So	3	Other	2.58333333333	34.75	Kuliak	Eastern Sudanic	Verbal Categories
som	Somali	2	Affixes on verbs	3.0	45.0	Lowland East Cushitic	Afro-Asiatic	Verbal Categories
spa	Spanish	1	Verbal constructions	40.0	-4.0	Romance	Indo-European	Verbal Categories
squ	Squamish	2	Affixes on verbs	49.6666666667	-123.166666667	Central Salish	Salishan	Verbal Categories
sup	Supyire	1	Verbal constructions	11.5	-5.58333333333	Senufo	Niger-Congo	Verbal Categories
swa	Swahili	2	Affixes on verbs	-6.5	39.0	Bantu	Niger-Congo	Verbal Categories
swe	Swedish	1	Verbal constructions	60.0	15.0	Germanic	Indo-European	Verbal Categories
