wals code	name	value	description	latitude	longitude	genus	family	area
jiv	Jivaro	1	Present, no remoteness distinctions	-2.5	-78.0	Jivaroan	Jivaroan	Verbal Categories
juh	Ju|'hoan	4	No past tense	-19.0	21.0	Ju-Kung	Kxa	Verbal Categories
knk	Kanakuru	1	Present, no remoteness distinctions	10.0	12.0	West Chadic	Afro-Asiatic	Verbal Categories
knd	Kannada	1	Present, no remoteness distinctions	14.0	76.0	Dravidian	Dravidian	Verbal Categories
knr	Kanuri	1	Present, no remoteness distinctions	12.0	13.0	Western Saharan	Saharan	Verbal Categories
krk	Karok	4	No past tense	41.6666666667	-123.0	Karok	Hokan	Verbal Categories
kay	Kayardild	4	No past tense	-17.05	139.5	Tangkic	Tangkic	Verbal Categories
ket	Ket	4	No past tense	64.0	87.0	Yeniseian	Yeniseian	Verbal Categories
kew	Kewa	2	Present, 2-3 remoteness distinctions	-6.5	143.833333333	Enga_Kewa-Huli	Trans-New Guinea	Verbal Categories
kha	Khalkha	1	Present, no remoteness distinctions	47.0	105.0	Mongolic	Altaic	Verbal Categories
khm	Khmer	4	No past tense	12.5	105.0	Khmer	Austro-Asiatic	Verbal Categories
kmu	Khmu'	4	No past tense	21.0	102.0	Khmuic	Austro-Asiatic	Verbal Categories
kik	Kikuyu	2	Present, 2-3 remoteness distinctions	-0.75	36.75	Bantu	Niger-Congo	Verbal Categories
kio	Kiowa	4	No past tense	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Verbal Categories
koa	Koasati	2	Present, 2-3 remoteness distinctions	34.8333333333	-85.1666666667	Muskogean	Muskogean	Verbal Categories
kor	Korean	1	Present, no remoteness distinctions	37.5	128.0	Korean	Korean	Verbal Categories
kse	Koyraboro Senni	4	No past tense	16.0	0.0	Songhay	Songhay	Verbal Categories
kfc	Kriol (Fitzroy Crossing)	1	Present, no remoteness distinctions	-18.1666666667	125.583333333	Creoles and Pidgins	other	Verbal Categories
kro	Krongo	4	No past tense	10.5	30.0	Kadugli	Kadu	Verbal Categories
kui	Kui (in India)	1	Present, no remoteness distinctions	20.0	83.5	Dravidian	Dravidian	Verbal Categories
kya	Kuku-Yalanji	1	Present, no remoteness distinctions	-16.0	145.0	Northern Pama-Nyungan	Pama-Nyungan	Verbal Categories
kji	Kurmanji	1	Present, no remoteness distinctions	38.0	42.0	Iranian	Indo-European	Verbal Categories
kut	Kutenai	4	No past tense	49.5	-116.0	Kutenai	Kutenai	Verbal Categories
lah	Lahu	4	No past tense	20.0	98.1666666667	Burmese-Lolo	Sino-Tibetan	Verbal Categories
lai	Lai	4	No past tense	22.6666666667	93.6666666667	Kuki-Chin	Sino-Tibetan	Verbal Categories
lkt	Lakhota	4	No past tense	43.8333333333	-101.833333333	Mississippi Valley Siouan	Siouan	Verbal Categories
lan	Lango	4	No past tense	2.16666666667	33.0	Western Nilotic	Eastern Sudanic	Verbal Categories
lao	Lao	4	No past tense	18.0	103.0	Kam-Tai	Tai-Kadai	Verbal Categories
lat	Latvian	1	Present, no remoteness distinctions	57.0	24.0	Baltic	Indo-European	Verbal Categories
lav	Lavukaleve	4	No past tense	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Verbal Categories
lez	Lezgian	1	Present, no remoteness distinctions	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Verbal Categories
lda	Luganda	2	Present, 2-3 remoteness distinctions	0.5	32.1666666667	Bantu	Niger-Congo	Verbal Categories
luv	Luvale	2	Present, 2-3 remoteness distinctions	-12.0	22.0	Bantu	Niger-Congo	Verbal Categories
mne	Maidu (Northeast)	2	Present, 2-3 remoteness distinctions	40.0	-120.666666667	Maiduan	Penutian	Verbal Categories
mai	Maithili	1	Present, no remoteness distinctions	26.0	86.0	Indic	Indo-European	Verbal Categories
mak	Makah	4	No past tense	48.3333333333	-124.666666667	Southern Wakashan	Wakashan	Verbal Categories
mal	Malagasy	4	No past tense	-20.0	47.0	Barito	Austronesian	Verbal Categories
mlt	Maltese	1	Present, no remoteness distinctions	35.9166666667	14.4166666667	Semitic	Afro-Asiatic	Verbal Categories
mnd	Mandarin	4	No past tense	34.0	110.0	Chinese	Sino-Tibetan	Verbal Categories
myi	Mangarrayi	1	Present, no remoteness distinctions	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Verbal Categories
man	Mano	4	No past tense	7.0	-9.0	Eastern Mande	Mande	Verbal Categories
mao	Maori	1	Present, no remoteness distinctions	-40.0	176.0	Oceanic	Austronesian	Verbal Categories
map	Mapudungun	4	No past tense	-38.0	-72.0	Araucanian	Araucanian	Verbal Categories
mrg	Margi	4	No past tense	11.0	13.0	Biu-Mandara	Afro-Asiatic	Verbal Categories
mar	Maricopa	4	No past tense	33.1666666667	-113.166666667	Yuman	Hokan	Verbal Categories
mrt	Martuthunira	1	Present, no remoteness distinctions	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Verbal Categories
mau	Maung	1	Present, no remoteness distinctions	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Verbal Categories
may	Maybrat	4	No past tense	-1.33333333333	132.5	Maybrat	Maybrat	Verbal Categories
mei	Meithei	4	No past tense	24.75	94.0	Manipuri	Sino-Tibetan	Verbal Categories
mxc	Mixtec (Chalcatongo)	4	No past tense	17.05	-97.5833333333	Mixtec	Oto-Manguean	Verbal Categories
mtg	Montagnais	1	Present, no remoteness distinctions	52.0	-65.0	Algonquian	Algic	Verbal Categories
mtu	Motu	4	No past tense	-9.33333333333	147.0	Oceanic	Austronesian	Verbal Categories
mwe	Mwera	2	Present, 2-3 remoteness distinctions	-9.0	39.0	Bantu	Niger-Congo	Verbal Categories
nak	Nakanai	4	No past tense	-5.58333333333	150.583333333	Oceanic	Austronesian	Verbal Categories
kho	Nama	2	Present, 2-3 remoteness distinctions	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Verbal Categories
ntu	Nenets	1	Present, no remoteness distinctions	70.0	76.0	Samoyedic	Uralic	Verbal Categories
ngm	Ngambay	4	No past tense	8.66666666667	16.0	Bongo-Bagirmi	Central Sudanic	Verbal Categories
ngi	Ngiyambaa	1	Present, no remoteness distinctions	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Verbal Categories
nbr	Ngäbere	2	Present, 2-3 remoteness distinctions	8.66666666667	-82.0	Guaymiic	Chibchan	Verbal Categories
nca	Nicobarese (Car)	4	No past tense	9.0	93.0	Nicobarese	Austro-Asiatic	Verbal Categories
nim	Nimboran	2	Present, 2-3 remoteness distinctions	-2.5	140.166666667	Nimboran	Nimboran	Verbal Categories
niv	Nivkh	4	No past tense	53.3333333333	142.0	Nivkh	Nivkh	Verbal Categories
ood	O'odham	2	Present, 2-3 remoteness distinctions	32.0	-112.0	Tepiman	Uto-Aztecan	Verbal Categories
ond	Oneida	4	No past tense	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Verbal Categories
ono	Ono	2	Present, 2-3 remoteness distinctions	-6.16666666667	147.583333333	Huon	Trans-New Guinea	Verbal Categories
orh	Oromo (Harar)	1	Present, no remoteness distinctions	9.0	42.0	Lowland East Cushitic	Afro-Asiatic	Verbal Categories
pai	Paiwan	4	No past tense	22.5	120.833333333	Paiwan	Austronesian	Verbal Categories
plg	Palaung	4	No past tense	22.6666666667	96.6666666667	Palaungic	Austro-Asiatic	Verbal Categories
pnn	Pangasinan	4	No past tense	15.9166666667	120.333333333	Northern Luzon	Austronesian	Verbal Categories
pan	Panjabi	1	Present, no remoteness distinctions	31.0	74.0	Indic	Indo-European	Verbal Categories
prs	Persian	1	Present, no remoteness distinctions	32.0	54.0	Iranian	Indo-European	Verbal Categories
prh	Pirahã	4	No past tense	-7.0	-62.0	Mura	Mura	Verbal Categories
por	Portuguese	1	Present, no remoteness distinctions	39.0	-8.0	Romance	Indo-European	Verbal Categories
bng	Qaqet	4	No past tense	-4.58333333333	152.0	Baining	Baining	Verbal Categories
