wals code	name	value	description	latitude	longitude	genus	family	area
chr	Chrau	5	No definite or indefinite article	10.75	107.5	Bahnaric	Austro-Asiatic	Nominal Categories
chk	Chukchi	5	No definite or indefinite article	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
cba	Chumash (Barbareño)	3	Indefinite affix	34.5	-120.25	Chumash	Chumash	Nominal Categories
chv	Chuvash	5	No definite or indefinite article	55.5	47.5	Turkic	Altaic	Nominal Categories
cbo	Chácobo	5	No definite or indefinite article	-12.1666666667	-66.75	Panoan	Pano-Tacanan	Nominal Categories
coc	Cocama	5	No definite or indefinite article	-5.0	-74.5	Maweti-Guarani	Tupian	Nominal Categories
cmn	Comanche	4	No indefinite, but definite article	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
coo	Coos (Hanis)	4	No indefinite, but definite article	43.5	-124.166666667	Coosan	Oregon Coast	Nominal Categories
cop	Coptic	1	Indefinite word distinct from 'one'	26.0	32.0	Egyptian-Coptic	Afro-Asiatic	Nominal Categories
crn	Cornish	4	No indefinite, but definite article	50.3333333333	-5.0	Celtic	Indo-European	Nominal Categories
cup	Cupeño	5	No definite or indefinite article	33.1666666667	-116.5	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
cze	Czech	5	No definite or indefinite article	50.0	15.0	Slavic	Indo-European	Nominal Categories
cem	Cèmuhî	1	Indefinite word distinct from 'one'	-20.8333333333	165.166666667	Oceanic	Austronesian	Nominal Categories
ddj	Dadjriwalé	2	Indefinite word same as 'one'	5.25	-5.66666666667	Kru	Niger-Congo	Nominal Categories
dag	Daga	5	No definite or indefinite article	-10.0	149.333333333	Dagan	Trans-New Guinea	Nominal Categories
dga	Dagaare	4	No indefinite, but definite article	10.5	-2.66666666667	Oti-Volta	Niger-Congo	Nominal Categories
dgb	Dagbani	4	No indefinite, but definite article	9.58333333333	-0.5	Oti-Volta	Niger-Congo	Nominal Categories
dni	Dani (Lower Grand Valley)	5	No definite or indefinite article	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Nominal Categories
dsh	Danish	1	Indefinite word distinct from 'one'	56.0	10.0	Germanic	Indo-European	Nominal Categories
deg	Degema	4	No indefinite, but definite article	4.75	6.75	Edoid	Niger-Congo	Nominal Categories
dhr	Dhargari	5	No definite or indefinite article	-23.75	114.916666667	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
did	Didinga	1	Indefinite word distinct from 'one'	4.5	33.5	South Surmic	Eastern Sudanic	Nominal Categories
die	Diegueño (Mesa Grande)	4	No indefinite, but definite article	32.6666666667	-116.166666667	Yuman	Hokan	Nominal Categories
dio	Diola-Fogny	1	Indefinite word distinct from 'one'	13.0	-16.25	Jola	Niger-Congo	Nominal Categories
dlm	Dla (Menggwa)	5	No definite or indefinite article	-3.55	141.033333333	Senagi	Senagi	Nominal Categories
doy	Doyayo	4	No indefinite, but definite article	8.66666666667	13.0833333333	Samba-Duru	Niger-Congo	Nominal Categories
duk	Duka	1	Indefinite word distinct from 'one'	11.1666666667	5.08333333333	Central Kainji	Niger-Congo	Nominal Categories
dmi	Dumi	5	No definite or indefinite article	27.25	86.6666666667	Himalayish	Sino-Tibetan	Nominal Categories
dut	Dutch	1	Indefinite word distinct from 'one'	52.5	6.0	Germanic	Indo-European	Nominal Categories
eip	Eipo	4	No indefinite, but definite article	-4.33333333333	140.083333333	Mek	Trans-New Guinea	Nominal Categories
egn	Engenni	4	No indefinite, but definite article	5.16666666667	6.38333333333	Edoid	Niger-Congo	Nominal Categories
eng	English	1	Indefinite word distinct from 'one'	52.0	0.0	Germanic	Indo-European	Nominal Categories
