wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Head-marking	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Morphology
ace	Acehnese	1	Head-marking	5.5	95.5	Malayo-Sumbawan	Austronesian	Morphology
aco	Acoma	1	Head-marking	34.9166666667	-107.583333333	Keresan	Keresan	Morphology
ain	Ainu	5	Inconsistent or other	43.0	143.0	Ainu	Ainu	Morphology
ala	Alamblak	5	Inconsistent or other	-4.66666666667	143.333333333	Sepik Hill	Sepik	Morphology
amb	Ambulas	2	Dependent-marking	-3.83333333333	143.0	Ndu	Sepik	Morphology
ame	Amele	5	Inconsistent or other	-5.25	145.583333333	Mabuso	Trans-New Guinea	Morphology
ane	Anêm	1	Head-marking	-5.58333333333	149.083333333	Anêm	Anêm	Morphology
apu	Apurinã	1	Head-marking	-9.0	-67.0	Purus	Arawakan	Morphology
aeg	Arabic (Egyptian)	5	Inconsistent or other	30.0	31.0	Semitic	Afro-Asiatic	Morphology
arp	Arapesh (Mountain)	5	Inconsistent or other	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Morphology
amp	Arrernte (Mparntwe)	2	Dependent-marking	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Morphology
asm	Asmat	5	Inconsistent or other	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Morphology
atk	Atakapa	5	Inconsistent or other	30.0	-93.5	Atakapa	Atakapa	Morphology
awp	Awa Pit	5	Inconsistent or other	1.5	-78.25	Barbacoan	Barbacoan	Morphology
awt	Awtuw	2	Dependent-marking	-3.58333333333	142.0	Ram	Sepik	Morphology
aym	Aymara (Central)	3	Double-marking	-17.0	-69.0	Aymaran	Aymaran	Morphology
bag	Bagirmi	5	Inconsistent or other	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Morphology
brs	Barasano	5	Inconsistent or other	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Morphology
bsq	Basque	5	Inconsistent or other	43.0	-3.0	Basque	Basque	Morphology
bzi	Bauzi	5	Inconsistent or other	-2.5	137.5	Geelvink Bay	Geelvink Bay	Morphology
bej	Beja	2	Dependent-marking	18.0	36.0	Beja	Afro-Asiatic	Morphology
bel	Belhare	3	Double-marking	26.9666666667	87.3	Himalayish	Sino-Tibetan	Morphology
bma	Berber (Middle Atlas)	2	Dependent-marking	33.0	-5.0	Berber	Afro-Asiatic	Morphology
bbw	Bininj Gun-Wok	5	Inconsistent or other	-12.5	133.75	Marne	Gunwinyguan	Morphology
brr	Bororo	5	Inconsistent or other	-16.0	-57.0	Bororoan	Bororoan	Morphology
brh	Brahui	2	Dependent-marking	28.5	67.0	Dravidian	Dravidian	Morphology
bri	Bribri	5	Inconsistent or other	9.41666666667	-83.0	Western Isthmic Chibchan	Chibchan	Morphology
brm	Burmese	2	Dependent-marking	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Morphology
buu	Buru	5	Inconsistent or other	-3.5	126.5	Central Malayo-Polynesian	Austronesian	Morphology
bur	Burushaski	3	Double-marking	36.5	74.5	Burushaski	Burushaski	Morphology
cnl	Canela	5	Inconsistent or other	-7.0	-45.0	Je Setentrional	Macro-Ge	Morphology
cyv	Cayuvava	5	Inconsistent or other	-13.5	-65.5	Cayuvava	Cayuvava	Morphology
cha	Chamorro	5	Inconsistent or other	13.45	144.75	Chamorro	Austronesian	Morphology
chy	Chayahuita	5	Inconsistent or other	-5.5	-77.0	Cahuapanan	Cahuapanan	Morphology
cjo	Chichimeca-Jonaz	1	Head-marking	21.6666666667	-100.5	Chichimec	Oto-Manguean	Morphology
cku	Chinook (Upper)	1	Head-marking	45.62	-121.16	Chinookan	Penutian	Morphology
ctm	Chitimacha	5	Inconsistent or other	29.6666666667	-91.0	Chitimacha	Chitimacha	Morphology
cho	Chontal (Highland)	1	Head-marking	16.25	-95.75	Tequistlatecan	Hokan	Morphology
chk	Chukchi	5	Inconsistent or other	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Morphology
cin	Chumash (Ineseño)	1	Head-marking	34.6666666667	-120.25	Chumash	Chumash	Morphology
ccp	Cocopa	5	Inconsistent or other	32.3333333333	-115.0	Yuman	Hokan	Morphology
coo	Coos (Hanis)	1	Head-marking	43.5	-124.166666667	Coosan	Oregon Coast	Morphology
cre	Cree (Plains)	1	Head-marking	54.0	-110.0	Algonquian	Algic	Morphology
dag	Daga	1	Head-marking	-10.0	149.333333333	Dagan	Trans-New Guinea	Morphology
dni	Dani (Lower Grand Valley)	5	Inconsistent or other	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Morphology
diy	Diyari	2	Dependent-marking	-28.0	139.0	Central Pama-Nyungan	Pama-Nyungan	Morphology
diz	Dizi	5	Inconsistent or other	6.16666666667	36.5	Dizoid	Afro-Asiatic	Morphology
djp	Djapu	2	Dependent-marking	-12.6666666667	136.0	Western Pama-Nyungan	Pama-Nyungan	Morphology
dji	Djingili	3	Double-marking	-17.75	134.0	Djingili	Mirndi	Morphology
dum	Dumo	5	Inconsistent or other	-2.68333333333	141.3	Western Skou	Skou	Morphology
dyi	Dyirbal	2	Dependent-marking	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Morphology
eka	Ekari	5	Inconsistent or other	-3.83333333333	135.5	Paniai Lakes	Trans-New Guinea	Morphology
eng	English	2	Dependent-marking	52.0	0.0	Germanic	Indo-European	Morphology
epe	Epena Pedee	5	Inconsistent or other	3.0	-77.0	Choco	Choco	Morphology
eve	Evenki	5	Inconsistent or other	56.0	125.0	Tungusic	Altaic	Morphology
ewe	Ewe	5	Inconsistent or other	6.33333333333	0.416666666667	Gbe	Niger-Congo	Morphology
fij	Fijian	1	Head-marking	-17.8333333333	178.0	Oceanic	Austronesian	Morphology
fin	Finnish	5	Inconsistent or other	62.0	25.0	Finnic	Uralic	Morphology
fre	French	5	Inconsistent or other	48.0	2.0	Romance	Indo-European	Morphology
fur	Fur	2	Dependent-marking	13.5	25.0	Fur	Fur	Morphology
grr	Garrwa	2	Dependent-marking	-17.0833333333	137.166666667	Garrwan	Garrwan	Morphology
geo	Georgian	5	Inconsistent or other	42.0	44.0	Kartvelian	Kartvelian	Morphology
ger	German	2	Dependent-marking	52.0	10.0	Germanic	Indo-European	Morphology
goo	Gooniyandi	5	Inconsistent or other	-18.3333333333	126.333333333	Bunuban	Bunuban	Morphology
grb	Grebo	2	Dependent-marking	5.0	-8.0	Kru	Niger-Congo	Morphology
grk	Greek (Modern)	3	Double-marking	39.0	22.0	Greek	Indo-European	Morphology
grw	Greenlandic (West)	3	Double-marking	64.0	-51.0	Eskimo	Eskimo-Aleut	Morphology
gua	Guaraní	1	Head-marking	-26.0	-56.0	Maweti-Guarani	Tupian	Morphology
gmz	Gumuz	5	Inconsistent or other	12.5	35.8333333333	Gumuz	Gumuz	Morphology
gku	Gününa Küne	5	Inconsistent or other	-41.0	-67.0	Puelche	Chonan	Morphology
hai	Haida	5	Inconsistent or other	53.0	-132.0	Haida	Haida	Morphology
hat	Hatam	5	Inconsistent or other	-1.0	134.0	Hatim-Mansim	Hatim-Mansim	Morphology
hau	Hausa	5	Inconsistent or other	12.0	7.0	West Chadic	Afro-Asiatic	Morphology
heb	Hebrew (Modern)	5	Inconsistent or other	31.5	34.8333333333	Semitic	Afro-Asiatic	Morphology
hin	Hindi	5	Inconsistent or other	25.0	77.0	Indic	Indo-European	Morphology
hix	Hixkaryana	1	Head-marking	-1.0	-59.0	Cariban	Cariban	Morphology
hmo	Hmong Njua	5	Inconsistent or other	28.0	105.0	Hmongic	Hmong-Mien	Morphology
hua	Hua	3	Double-marking	-6.33333333333	145.333333333	Siane-Yagaria	Trans-New Guinea	Morphology
hve	Huave (San Mateo del Mar)	1	Head-marking	16.2166666667	-95.0	Huavean	Huavean	Morphology
hun	Hungarian	5	Inconsistent or other	47.0	20.0	Ugric	Uralic	Morphology
iau	Iau	5	Inconsistent or other	-3.16666666667	137.5	Central Tariku	Lakes Plain	Morphology
ice	Icelandic	2	Dependent-marking	65.0	-17.0	Germanic	Indo-European	Morphology
ijo	Ijo (Kolokuma)	4	Zero-marking	4.91666666667	5.66666666667	Ijoid	Ijoid	Morphology
ik	Ik	2	Dependent-marking	3.75	34.1666666667	Kuliak	Eastern Sudanic	Morphology
ika	Ika	5	Inconsistent or other	10.6666666667	-73.75	Arhuacic	Chibchan	Morphology
imo	Imonda	3	Double-marking	-3.33333333333	141.166666667	Border	Border	Morphology
ind	Indonesian	4	Zero-marking	0.0	106.0	Malayo-Sumbawan	Austronesian	Morphology
ing	Ingush	5	Inconsistent or other	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Morphology
jak	Jakaltek	1	Head-marking	15.6666666667	-91.6666666667	Mayan	Mayan	Morphology
jpn	Japanese	2	Dependent-marking	37.0	140.0	Japanese	Japanese	Morphology
jel	Jeli	5	Inconsistent or other	9.5	-5.66666666667	Western Mande	Mande	Morphology
jiv	Jivaro	3	Double-marking	-2.5	-78.0	Jivaroan	Jivaroan	Morphology
juh	Ju|'hoan	4	Zero-marking	-19.0	21.0	Ju-Kung	Kxa	Morphology
knd	Kannada	2	Dependent-marking	14.0	76.0	Dravidian	Dravidian	Morphology
knp	Kanum (Ngkâlmpw)	5	Inconsistent or other	-8.66666666667	140.916666667	Kanum	Yam	Morphology
knr	Kanuri	5	Inconsistent or other	12.0	13.0	Western Saharan	Saharan	Morphology
krk	Karok	1	Head-marking	41.6666666667	-123.0	Karok	Hokan	Morphology
kay	Kayardild	2	Dependent-marking	-17.05	139.5	Tangkic	Tangkic	Morphology
ket	Ket	1	Head-marking	64.0	87.0	Yeniseian	Yeniseian	Morphology
